language,File Path,JavascriptToPascal.pas,returncode,input,Expected,actualy
Pascal,./Projects/HumanEvalX\1\ExecutionsExp20Run1\01-12-2026_23h05m35s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
Pascal,./Projects/HumanEvalX\100\ExecutionsExp20Run1\01-12-2026_23h12m00s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[3],"[3, 5, 7]","(3, 5, 7)"
Java,./Projects/HumanEvalX\104\ExecutionsExp20Run1\01-12-2026_23h18m51s\PythonToJava.java,PythonToJava.java,0,"[[15, 33, 1422, 1]]","[1, 15, 33]","[1, 15, 33]
[]
[111, 151]
[31, 135]"
Pascal,./Projects/HumanEvalX\110\ExecutionsExp20Run1\01-12-2026_23h36m42s\PythonToPascal.pas,PythonToPascal.pas,0,"[[1, 2, 3, 4], [1, 2, 3, 4]]",YES,NO
C++,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\JavascriptToC++.c++,JavascriptToC++.c++,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[]
C,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\JavascriptToC.c,JavascriptToC.c,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],['the number of odd elements 8n the str8ng 8 of the 8nput.']
Pascal,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[['3', '11111111']]","['the number of odd elements 1n the str1ng 1 of the 1nput.', 'the number of odd elements 8n the str8ng 8 of the 8nput.']",['the number of odd elements 4n the str4ng 4 of the 4nput.']
JavaScript,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\JavaToJavascript.js,JavaToJavascript.js,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C++,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\PythonToC++.c++,PythonToC++.c++,0,"[['3', '11111111']]","['the number of odd elements 1n the str1ng 1 of the 1nput.', 'the number of odd elements 8n the str8ng 8 of the 8nput.']",['the number of odd elements 9n the str9ng 9 of the 9nput.']
Java,./Projects/HumanEvalX\113\ExecutionsExp20Run1\01-12-2026_23h39m21s\PythonToJava.java,PythonToJava.java,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],[]
C#,./Projects/HumanEvalX\116\ExecutionsExp20Run1\01-12-2026_23h42m59s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]","[1, 2, 3, 4, 5]"
C,./Projects/HumanEvalX\116\ExecutionsExp20Run1\01-12-2026_23h42m59s\PythonToC.c,PythonToC.c,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C++,./Projects/HumanEvalX\119\ExecutionsExp20Run1\01-12-2026_23h48m11s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[['()(', ')']]",Yes,No
Pascal,./Projects/HumanEvalX\119\ExecutionsExp20Run1\01-12-2026_23h48m11s\JavascriptToPascal.pas,JavascriptToPascal.pas,1,"[['()(', ')']]",Yes,
Pascal,./Projects/HumanEvalX\123\ExecutionsExp20Run1\01-12-2026_23h58m49s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
Pascal,./Projects/HumanEvalX\124\ExecutionsExp20Run1\01-13-2026_00h01m43s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,['03-11-2000'],True,TRUE
Pascal,./Projects/HumanEvalX\124\ExecutionsExp20Run1\01-13-2026_00h01m43s\JavaToPascal.pas,JavaToPascal.pas,0,['03-11-2000'],True,TRUE
C,./Projects/HumanEvalX\126\ExecutionsExp20Run1\01-13-2026_00h04m39s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 3, 2, 4, 5]]",False,True
Pascal,./Projects/HumanEvalX\126\ExecutionsExp20Run1\01-13-2026_00h04m39s\JavaToPascal.pas,JavaToPascal.pas,0,[[5]],True,-1
C#,./Projects/HumanEvalX\130\ExecutionsExp20Run1\01-13-2026_00h12m23s\JavaToC#.cs,JavaToC#.cs,0,[3],"[1, 3, 2.0, 8.0]","[1, 3, 2, 0, 8, 0]"
Pascal,./Projects/HumanEvalX\14\ExecutionsExp20Run1\01-13-2026_00h29m11s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[''],[],
Pascal,./Projects/HumanEvalX\142\ExecutionsExp20Run1\01-13-2026_00h37m04s\PythonToPascal.pas,PythonToPascal.pas,1,"[[1, 2, 3]]",6,"Invalid integer input: [1, 2, 3]"
Pascal,./Projects/HumanEvalX\149\ExecutionsExp20Run1\01-13-2026_05h38m11s\JavaToPascal.pas,JavaToPascal.pas,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['AI', 'au', 'ai']"
C#,./Projects/HumanEvalX\149\ExecutionsExp20Run1\01-13-2026_05h38m11s\PythonToC#.cs,PythonToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
C++,./Projects/HumanEvalX\149\ExecutionsExp20Run1\01-13-2026_05h38m11s\PythonToC++.c++,PythonToC++.c++,0,"[['aa', 'a', 'aaa']]",['aa'],[]
Pascal,./Projects/HumanEvalX\149\ExecutionsExp20Run1\01-13-2026_05h38m11s\PythonToPascal.pas,PythonToPascal.pas,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
