language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\0\ExecutionsExp7Run4\08-22-2024_15h08m32s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
Haskell,./Projects/HumanEvalX\0\ExecutionsExp7Run4\08-22-2024_15h08m32s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1]",True,False
JavaScript,./Projects/HumanEvalX\0\ExecutionsExp7Run4\08-22-2024_15h08m32s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\0\ExecutionsExp7Run4\08-22-2024_15h08m32s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C,./Projects/HumanEvalX\0\ExecutionsExp7Run4\08-22-2024_15h08m32s\PythonToC.c,PythonToC.c,3221226356,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3]",True,
JavaScript,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\C++ToJavascript.js,C++ToJavascript.js,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[""'(()())'"", ""'((()))'"", ""'()'"", ""'((())()())'""]"
C#,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavascriptToC#.cs,JavascriptToC#.cs,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()()), ((())), (), ((())()())"
C++,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavascriptToC++.c++,JavascriptToC++.c++,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
C,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavascriptToC.c,JavascriptToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
Java,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavascriptToJava.java,JavascriptToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
C,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavaToC.c,JavaToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","['((())()())', '()', '((()))', '(()())']"
Python,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\JavaToPython.py,JavaToPython.py,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[('', ""'(()())' '((()))' '()' '((())()())'"")]"
C#,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\PythonToC#.cs,PythonToC#.cs,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()()), ((())), (), ((())()())"
C++,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\PythonToC++.c++,PythonToC++.c++,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']",(()()) ((())) () ((())()())
C,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\PythonToC.c,PythonToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
Java,./Projects/HumanEvalX\1\ExecutionsExp7Run4\08-22-2024_15h15m51s\PythonToJava.java,PythonToJava.java,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","[(()()), ((())), (), ((())()())]"
Haskell,./Projects/HumanEvalX\10\ExecutionsExp7Run4\08-22-2024_15h24m06s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,['x'],x,xx
C,./Projects/HumanEvalX\10\ExecutionsExp7Run4\08-22-2024_15h24m06s\JavaToC.c,JavaToC.c,0,['xyz'],xyzyx,xyzxy
C++,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavascriptToC++.c++,JavascriptToC++.c++,0,[3],"[3, 5, 7]",3 5 7
C,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavascriptToC.c,JavascriptToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
Haskell,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,[4],"[4, 6, 8, 10]","[4, 5, 7, 9, 11]"
C#,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavaToC#.cs,JavaToC#.cs,0,[3],"[3, 5, 7]","(3, 5, 7)"
C++,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavaToC++.c++,JavaToC++.c++,0,[3],"[3, 5, 7]",3 5 7
C,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\JavaToC.c,JavaToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
C++,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\PythonToC++.c++,PythonToC++.c++,0,[3],"[3, 5, 7]","(3, 5, 7)"
C,./Projects/HumanEvalX\100\ExecutionsExp7Run4\08-22-2024_15h30m59s\PythonToC.c,PythonToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
C#,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavascriptToC#.cs,JavascriptToC#.cs,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","Hi, my, name, is, John"
C,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavascriptToC.c,JavascriptToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","Hi
my
name
is
John"
Java,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavascriptToJava.java,JavascriptToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
Pascal,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","Hi, my, name, is, John"
C,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavaToC.c,JavaToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', 'mynameisJohn']"
Python,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\JavaToPython.py,JavaToPython.py,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']",['H']
C#,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\PythonToC#.cs,PythonToC#.cs,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","Hi, my, name, is, John"
C,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\PythonToC.c,PythonToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","('Hi', 'my', 'name', 'is', 'John')"
Java,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\PythonToJava.java,PythonToJava.java,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","[Hi, my, name, is, John]"
JavaScript,./Projects/HumanEvalX\101\ExecutionsExp7Run4\08-22-2024_15h37m28s\PythonToJavascript.js,PythonToJavascript.js,0,"['One,, two, three, four, five, six,']","['One', 'two', 'three', 'four', 'five', 'six']","['One', 'two', 'three', 'four', 'five', 'six', '']"
Pascal,./Projects/HumanEvalX\102\ExecutionsExp7Run4\08-22-2024_15h45m02s\JavaToPascal.pas,JavaToPascal.pas,0,"[12, 15]",14,0
C,./Projects/HumanEvalX\104\ExecutionsExp7Run4\08-22-2024_15h51m58s\JavascriptToC.c,JavascriptToC.c,0,"[[15, 33, 1422, 1]]","[1, 15, 33]","[1, 5, 33]"
Haskell,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","['Two', 'One', 'One', 'Four', 'Five', 'Eight', 'Two', 'Three']"
Python,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\C++ToPython.py,C++ToPython.py,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']
[]
['One']
['Three', 'Two', 'One']
['Nine', 'Eight', 'Four']"
C++,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']",
C,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']",
Python,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\JavaToPython.py,JavaToPython.py,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[('', ""'Eight''Five''Four''Three''Two''Two''One''One'"")]"
C#,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\PythonToC#.cs,PythonToC#.cs,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']",
C++,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\PythonToC++.c++,PythonToC++.c++,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[ 'Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One',  ]"
C,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\PythonToC.c,PythonToC.c,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","('Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One')"
Java,./Projects/HumanEvalX\105\ExecutionsExp7Run4\08-22-2024_16h00m16s\PythonToJava.java,PythonToJava.java,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[Eight, Five, Four, Three, Two, Two, One, One]"
Haskell,./Projects/HumanEvalX\106\ExecutionsExp7Run4\08-22-2024_16h09m52s\C++ToHaskell.hs,C++ToHaskell.hs,0,[5],"[1, 2, 6, 24, 15]",[01124]
C++,./Projects/HumanEvalX\106\ExecutionsExp7Run4\08-22-2024_16h09m52s\JavascriptToC++.c++,JavascriptToC++.c++,0,[5],"[1, 2, 6, 24, 15]",1 2 6 24 15
C,./Projects/HumanEvalX\106\ExecutionsExp7Run4\08-22-2024_16h09m52s\JavascriptToC.c,JavascriptToC.c,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
