language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C#,./Projects/HumanEvalX\0\ExecutionsExp14Run1\03-29-2025_13h07m09s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\0\ExecutionsExp14Run1\03-29-2025_13h07m09s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C#,./Projects/HumanEvalX\0\ExecutionsExp14Run1\03-29-2025_13h07m09s\PythonToC#.cs,PythonToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05]",False,True
C++,./Projects/HumanEvalX\101\ExecutionsExp14Run1\03-29-2025_13h23m11s\JavaToC++.c++,JavaToC++.c++,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', ''my', ''name', ''is', ''John']"
Java,./Projects/HumanEvalX\105\ExecutionsExp14Run1\03-29-2025_13h29m37s\PythonToJava.java,PythonToJava.java,0,"[[2, 1, 1, 4, 5, 8, 2, 3]]","['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', 'One', 'One']","[Eight, Five, Four, Three, Two, Two, One, One]"
C#,./Projects/HumanEvalX\108\ExecutionsExp14Run1\03-29-2025_13h35m20s\PythonToC#.cs,PythonToC#.cs,0,[[]],0,Error: Input string was not in a correct format.
Haskell,./Projects/HumanEvalX\113\ExecutionsExp14Run1\03-29-2025_13h45m48s\PythonToHaskell.hs,PythonToHaskell.hs,0,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],Error: Could not parse input
C,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\JavascriptToC.c,JavascriptToC.c,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Pascal,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]",Error parsing input: Invalid type cast
C#,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 5, 2, 3, 4]]","[1, 2, 4, 3, 5]","[1, 2, 3, 4, 5]"
C++,./Projects/HumanEvalX\116\ExecutionsExp14Run1\03-29-2025_13h49m15s\PythonToC++.c++,PythonToC++.c++,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
Pascal,./Projects/HumanEvalX\118\ExecutionsExp14Run1\03-29-2025_13h53m21s\PythonToPascal.pas,PythonToPascal.pas,0,['easy'],,nan
Pascal,./Projects/HumanEvalX\121\ExecutionsExp14Run1\03-29-2025_14h01m33s\C++ToPascal.pas,C++ToPascal.pas,0,"[[3, 3, 3, 3, 3]]",9,6
Haskell,./Projects/HumanEvalX\123\ExecutionsExp14Run1\03-29-2025_14h06m23s\PythonToHaskell.hs,PythonToHaskell.hs,0,[14],"[1, 5, 7, 11, 13, 17]",[]
C++,./Projects/HumanEvalX\126\ExecutionsExp14Run1\03-29-2025_14h11m40s\JavaToC++.c++,JavaToC++.c++,0,[[5]],True,False
C#,./Projects/HumanEvalX\126\ExecutionsExp14Run1\03-29-2025_14h11m40s\PythonToC#.cs,PythonToC#.cs,0,[[]],True,Error: Input string was not in a correct format.
Pascal,./Projects/HumanEvalX\127\ExecutionsExp14Run1\03-29-2025_14h14m42s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2], [2, 3]]",NO,Error: Need two intervals
C++,./Projects/HumanEvalX\127\ExecutionsExp14Run1\03-29-2025_14h14m42s\PythonToC++.c++,PythonToC++.c++,3221225477,"[[1, 2], [2, 3]]",NO,
C#,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2, 3]]",14,113
C#,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2, 3]]",14,113
C#,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\PythonToC#.cs,PythonToC#.cs,0,"[[1.0, 2, 3]]",14,113
Pascal,./Projects/HumanEvalX\133\ExecutionsExp14Run1\03-29-2025_14h25m19s\PythonToPascal.pas,PythonToPascal.pas,0,"[[1.0, 2, 3]]",14,"Error: ""1.0"" is an invalid float"
Java,./Projects/HumanEvalX\134\ExecutionsExp14Run1\03-29-2025_14h27m59s\PythonToJava.java,PythonToJava.java,0,['eeeee e '],False,True
C,./Projects/HumanEvalX\135\ExecutionsExp14Run1\03-29-2025_14h29m37s\PythonToC.c,PythonToC.c,1,"[[1, 2, 4, 3, 5]]",3,Failed to parse input array
C,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\JavaToC.c,JavaToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-1, -11, -12, 1, 11]"
Haskell,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[-12, -11, -1, 1, 11]"
C#,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\PythonToC#.cs,PythonToC#.cs,0,[[]],[],Error: Input string was not in a correct format.
C,./Projects/HumanEvalX\145\ExecutionsExp14Run1\03-29-2025_14h46m34s\PythonToC.c,PythonToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]",[]
Haskell,./Projects/HumanEvalX\147\ExecutionsExp14Run1\03-29-2025_14h53m14s\C++ToHaskell.hs,C++ToHaskell.hs,0,[5],1,0
C#,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\C++ToC#.cs,C++ToC#.cs,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'AI', 'au']"
C,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\JavaToC.c,JavaToC.c,0,"[['d', 'dcba', 'abcd', 'a']]","['abcd', 'dcba']","['dcba', 'abcd']"
Pascal,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\JavaToPascal.pas,JavaToPascal.pas,0,"[['d', 'dcba', 'abcd', 'a']]","['abcd', 'dcba']","['dcba', 'abcd']"
Java,./Projects/HumanEvalX\149\ExecutionsExp14Run1\03-29-2025_14h55m26s\PythonToJava.java,PythonToJava.java,0,"[['d', 'b', 'c', 'a']]",[],['']
Haskell,./Projects/HumanEvalX\158\ExecutionsExp14Run1\03-29-2025_15h12m49s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[['name', 'of', 'string']]",string,Error: Invalid input format
C#,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavascriptToC#.cs,JavascriptToC#.cs,0,[3.5],0.5,0
Pascal,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,[3.5],0.5,Error: Invalid number format
C#,./Projects/HumanEvalX\2\ExecutionsExp14Run1\03-29-2025_15h29m52s\JavaToC#.cs,JavaToC#.cs,0,[3.5],0.5,0
C#,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
C#,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\JavaToC#.cs,JavaToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
C#,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\PythonToC#.cs,PythonToC#.cs,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","[39, 40]"
JavaScript,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]",null
Pascal,./Projects/HumanEvalX\20\ExecutionsExp14Run1\03-29-2025_15h30m59s\PythonToPascal.pas,PythonToPascal.pas,0,"[[1.0, 2.0, 3.9, 4.0, 5.0, 2.2]]","[3.9, 4.0]","Error: ""1.0"" is an invalid float"
C#,./Projects/HumanEvalX\21\ExecutionsExp14Run1\03-29-2025_15h34m23s\C++ToC#.cs,C++ToC#.cs,0,"[[1.0, 2.0, 3.0, 4.0, 5.0]]","[0.0, 0.25, 0.5, 0.75, 1.0]","[0, 0, 25, 0, 5, 0, 75, 1]"
C#,./Projects/HumanEvalX\21\ExecutionsExp14Run1\03-29-2025_15h34m23s\JavaToC#.cs,JavaToC#.cs,0,"[[2.0, 49.9]]","[0.0, 1.0]","(0.0, 1.0)"
C,./Projects/HumanEvalX\28\ExecutionsExp14Run1\03-29-2025_15h46m35s\JavascriptToC.c,JavascriptToC.c,0,[[]],,[]
Pascal,./Projects/HumanEvalX\28\ExecutionsExp14Run1\03-29-2025_15h46m35s\PythonToPascal.pas,PythonToPascal.pas,0,"[['x', 'y', 'z', 'w', 'k']]",xyzwk,
C,./Projects/HumanEvalX\29\ExecutionsExp14Run1\03-29-2025_15h49m11s\JavascriptToC.c,JavascriptToC.c,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']","['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx']"
Haskell,./Projects/HumanEvalX\29\ExecutionsExp14Run1\03-29-2025_15h49m11s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']",Error: Invalid list format.
C++,./Projects/HumanEvalX\34\ExecutionsExp14Run1\03-29-2025_15h59m11s\PythonToC++.c++,PythonToC++.c++,0,"[[5, 3, 5, 2, 3, 3, 9, 0, 123]]","[0, 2, 3, 5, 9, 123]",[]
