language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h22m43s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\JavaToC.c,JavaToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_13h29m14s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\C++ToC#.cs,C++ToC#.cs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,9
C#,./Projects/HumanEvalX/142/Executions\08-15-2024_13h29m14s\PythonToC#.cs,PythonToC#.cs,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_13h22m43s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/Executions\08-15-2024_13h29m14s\JavascriptToC++.c++,JavascriptToC++.c++,3,[[]],0,
Haskell,./Projects/HumanEvalX/142/Executions\08-15-2024_13h22m43s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/Executions\08-15-2024_13h29m14s\PythonToHaskell.hs,PythonToHaskell.hs,0,"[[1, 2, 3]]",6,Invalid input format
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\C++ToJava.java,C++ToJava.java,0,"[[1, 2, 3]]",6,30
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\PythonToJava.java,PythonToJava.java,0,"[[1, 4, 9]]",14,6
Java,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\PythonToJava.java,PythonToJava.java,0,"[[1, 4, 9]]",14,6
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,2
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_13h25m53s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
Pascal,./Projects/HumanEvalX/142/Executions\08-15-2024_20h27m19s\JavascriptToPascal.pas,JavascriptToPascal.pas,0,"[[1, 2, 3]]",6,12
Python,./Projects/HumanEvalX/142/Executions\08-15-2024_13h24m14s\JavaToPython.py,JavaToPython.py,0,"[[1, 2, 3]]",6,0
