language,File Path,C++ToC#.cs,returncode,input,Expected,actualy
C,./Projects/HumanEvalX\101\ExecutionsExp6Run2\08-15-2024_22h44m49s\JavaToC.c,JavaToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']",['i']
C,./Projects/HumanEvalX\153\ExecutionsExp6Run2\08-15-2024_23h55m23s\JavascriptToC.c,JavascriptToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Boku123.YEs.WeCaNe
C,./Projects/HumanEvalX\153\ExecutionsExp6Run2\08-15-2024_23h55m23s\JavaToC.c,JavaToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi.
C,./Projects/HumanEvalX\132\ExecutionsExp6Run2\08-15-2024_23h25m52s\JavaToC.c,JavaToC.c,0,['[[]]'],True,False
C,./Projects/HumanEvalX\132\ExecutionsExp6Run2\08-15-2024_23h25m52s\PythonToC.c,PythonToC.c,0,['[[]]'],True,False
C,./Projects/HumanEvalX\141\ExecutionsExp6Run2\08-15-2024_23h37m22s\JavascriptToC.c,JavascriptToC.c,0,['all.exe.txt'],No,Yes
C,./Projects/HumanEvalX\54\ExecutionsExp6Run2\08-16-2024_00h46m08s\C++ToC.c,C++ToC.c,0,"['eabcdzzzz', 'dddzzzzzzzddeddabc']",True,False
C,./Projects/HumanEvalX\54\ExecutionsExp6Run2\08-16-2024_00h46m08s\PythonToC.c,PythonToC.c,0,"['eabcdzzzz', 'dddzzzzzzzddeddabc']",True,False
C,./Projects/HumanEvalX\134\ExecutionsExp6Run2\08-15-2024_23h29m14s\JavaToC.c,JavaToC.c,0,['eeeee e '],False,True
C,./Projects/HumanEvalX\118\ExecutionsExp6Run2\08-15-2024_23h05m41s\JavascriptToC.c,JavascriptToC.c,0,['yogurt'],u,r
C,./Projects/HumanEvalX\130\ExecutionsExp6Run2\08-15-2024_23h23m04s\JavaToC.c,JavaToC.c,0,[3],"[1, 3, 2.0, 8.0]","[1.0, 3.0, 2.0, 8.0, 0.0]"
