language,File Path,C++ToJavascript.js,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\JavascriptToC.c,JavascriptToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14952
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\JavaToC.c,JavaToC.c,3221226356,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h37m41s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,64339075
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h37m41s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,7
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,5
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,5
C,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide input in the format: [[...]]
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\JavaToC++.c++,JavaToC++.c++,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,-5
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\PythonToC++.c++,PythonToC++.c++,0,"[[1, 2, 3]]",6,0
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\JavascriptToC++.c++,JavascriptToC++.c++,0,"[[1, 2, 3]]",6,0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\C++ToHaskell.hs,C++ToHaskell.hs,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\JavascriptToHaskell.hs,JavascriptToHaskell.hs,0,"[[1, 2, 3]]",6,11.0
Haskell,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h43m09s\JavaToHaskell.hs,JavaToHaskell.hs,0,"[[1, 2, 3]]",6,7
Java,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\PythonToJava.java,PythonToJava.java,0,"[[1, 2, 3]]",6,Invalid input format. Expected format: [[...]]
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h37m41s\JavaToJavascript.js,JavaToJavascript.js,0,"[[-1, -1, -1, -1, -1, -1, -1, -1, -1]]",-3,-5
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h32m08s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h37m41s\PythonToJavascript.js,PythonToJavascript.js,0,"[[1, 2, 3]]",6,0
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h48m21s\C++ToJavascript.js,C++ToJavascript.js,0,"[[1, 2, 3]]",6,30
JavaScript,./Projects/HumanEvalX/142/ExecutionsExp8Run9\08-25-2024_12h26m44s\JavaToJavascript.js,JavaToJavascript.js,0,[[]],0,
