language,File Path,JavascriptToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h13m46s\JavascriptToC.c,JavascriptToC.c,0,"[[-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]]",-14196,-14952
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h13m46s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\JavascriptToC.c,JavascriptToC.c,1,"[[1, 2, 3]]",6,
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,4
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h21m32s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h25m58s\PythonToC.c,PythonToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\JavascriptToC.c,JavascriptToC.c,0,"[[1, 2, 3]]",6,0
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\JavaToC.c,JavaToC.c,0,"[[1, 2, 3]]",6,4
C,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\PythonToC.c,PythonToC.c,3221225477,"[[1, 2, 3]]",6,
C#,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h30m11s\C++ToC#.cs,C++ToC#.cs,0,"[[1, 2, 3]]",6,Please provide input in the format [[...]]
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h13m46s\PythonToC++.c++,PythonToC++.c++,3,"[[1, 2, 3]]",6,
C++,./Projects/HumanEvalX/142/ExecutionsExp8Run2_2\08-26-2024_13h17m34s\JavascriptToC++.c++,JavascriptToC++.c++,3,"[[1, 2, 3]]",6,
