language,File Path,C++ToC.c,returncode,input,Expected,actualy
C,./Projects/HumanEvalX\14\ExecutionsExp5Run1\08-15-2024_23h34m17s\PythonToC.c,PythonToC.c,0,[''],[],
C,./Projects/HumanEvalX\17\ExecutionsExp5Run1\08-16-2024_00h07m05s\JavaToC.c,JavaToC.c,0,[''],[],
C,./Projects/HumanEvalX\17\ExecutionsExp5Run1\08-16-2024_00h07m05s\PythonToC.c,PythonToC.c,0,[''],[],
C,./Projects/HumanEvalX\1\ExecutionsExp5Run1\08-15-2024_22h40m02s\C++ToC.c,C++ToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","['(()())', '((()))', '()()))', '((())()())']"
C,./Projects/HumanEvalX\1\ExecutionsExp5Run1\08-15-2024_22h40m02s\JavascriptToC.c,JavascriptToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
C,./Projects/HumanEvalX\1\ExecutionsExp5Run1\08-15-2024_22h40m02s\C++ToC.c,C++ToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","['(()())', '((()))', '()()))', '((())()())']"
C,./Projects/HumanEvalX\1\ExecutionsExp5Run1\08-15-2024_22h40m02s\JavascriptToC.c,JavascriptToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']","(()())
((()))
()
((())()())"
C,./Projects/HumanEvalX\1\ExecutionsExp5Run1\08-15-2024_22h40m02s\PythonToC.c,PythonToC.c,0,['(()()) ((())) () ((())()())'],"['(()())', '((()))', '()', '((())()())']",(()())((()))()((())()())
C,./Projects/HumanEvalX\6\ExecutionsExp5Run1\08-16-2024_00h53m20s\JavascriptToC.c,JavascriptToC.c,0,['(()()) ((())) () ((())()())'],"[2, 3, 1, 3]",3
C,./Projects/HumanEvalX\6\ExecutionsExp5Run1\08-16-2024_00h53m20s\PythonToC.c,PythonToC.c,0,['(()()) ((())) () ((())()())'],"[2, 3, 1, 3]","(3, 3, 3, 3)"
C,./Projects/HumanEvalX\99\ExecutionsExp5Run1\08-16-2024_01h37m31s\JavascriptToC.c,JavascriptToC.c,0,['-15.5'],-16,-15
C,./Projects/HumanEvalX\161\ExecutionsExp5Run1\08-16-2024_00h04m12s\JavaToC.c,JavaToC.c,0,['1234'],4321,4334
C,./Projects/HumanEvalX\143\ExecutionsExp5Run1\08-15-2024_23h41m03s\C++ToC.c,C++ToC.c,0,['Hi I am Hussein'],Hi am Hussein,Hi am
C,./Projects/HumanEvalX\101\ExecutionsExp5Run1\08-15-2024_22h44m49s\C++ToC.c,C++ToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', 'my', 'name', 'is']"
C,./Projects/HumanEvalX\101\ExecutionsExp5Run1\08-15-2024_22h44m49s\JavascriptToC.c,JavascriptToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","'Hi'
'my'
'name'
'is'"
C,./Projects/HumanEvalX\101\ExecutionsExp5Run1\08-15-2024_22h44m49s\JavaToC.c,JavaToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","['Hi', 'my name is John']"
C,./Projects/HumanEvalX\101\ExecutionsExp5Run1\08-15-2024_22h44m49s\PythonToC.c,PythonToC.c,0,"['Hi, my name is John']","['Hi', 'my', 'name', 'is', 'John']","('Hi', ' my name is John')"
C,./Projects/HumanEvalX\153\ExecutionsExp5Run1\08-15-2024_23h55m23s\C++ToC.c,C++ToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,Watashi.
C,./Projects/HumanEvalX\153\ExecutionsExp5Run1\08-15-2024_23h55m23s\JavascriptToC.c,JavascriptToC.c,0,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,"Watashi.['tEN', 'niNE', 'eIGHt8OKe']"
C,./Projects/HumanEvalX\153\ExecutionsExp5Run1\08-15-2024_23h55m23s\JavaToC.c,JavaToC.c,3221225477,"['Watashi', ['tEN', 'niNE', 'eIGHt8OKe']]",Watashi.eIGHt8OKe,
C,./Projects/HumanEvalX\132\ExecutionsExp5Run1\08-15-2024_23h25m52s\JavaToC.c,JavaToC.c,0,['[][][[]]'],True,False
C,./Projects/HumanEvalX\132\ExecutionsExp5Run1\08-15-2024_23h25m52s\PythonToC.c,PythonToC.c,0,['[]]]]]]][[[[[]'],False,True
C,./Projects/HumanEvalX\141\ExecutionsExp5Run1\08-15-2024_23h37m22s\JavaToC.c,JavaToC.c,0,['all.exe.txt'],No,Yes
C,./Projects/HumanEvalX\141\ExecutionsExp5Run1\08-15-2024_23h37m22s\PythonToC.c,PythonToC.c,0,['all.exe.txt'],No,Yes
C,./Projects/HumanEvalX\54\ExecutionsExp5Run1\08-16-2024_00h46m08s\C++ToC.c,C++ToC.c,0,"['eabcdzzzz', 'dddzzzzzzzddeddabc']",True,False
C,./Projects/HumanEvalX\54\ExecutionsExp5Run1\08-16-2024_00h46m08s\PythonToC.c,PythonToC.c,0,"['eabcdzzzz', 'dddzzzzzzzddeddabc']",True,False
C,./Projects/HumanEvalX\134\ExecutionsExp5Run1\08-15-2024_23h29m14s\JavaToC.c,JavaToC.c,0,['eeeee e '],False,1
C,./Projects/HumanEvalX\17\ExecutionsExp5Run1\08-16-2024_00h07m05s\C++ToC.c,C++ToC.c,0,['o o o o'],"[4, 4, 4, 4]","[4, 4, 4]"
C,./Projects/HumanEvalX\10\ExecutionsExp5Run1\08-15-2024_22h41m56s\PythonToC.c,PythonToC.c,0,['xyz'],xyzyx,xyzy
C,./Projects/HumanEvalX\118\ExecutionsExp5Run1\08-15-2024_23h05m41s\JavascriptToC.c,JavascriptToC.c,0,['yogurt'],u,
C,./Projects/HumanEvalX\79\ExecutionsExp5Run1\08-16-2024_01h15m17s\JavaToC.c,JavaToC.c,3221225477,[0],db0db,
C,./Projects/HumanEvalX\36\ExecutionsExp5Run1\08-16-2024_00h30m58s\JavascriptToC.c,JavascriptToC.c,3221225477,[100000],8026,
C,./Projects/HumanEvalX\123\ExecutionsExp5Run1\08-15-2024_23h14m04s\JavascriptToC.c,JavascriptToC.c,0,[14],"[1, 5, 7, 11, 13, 17]","(1, 5, 7, 11, 13, 17)"
C,./Projects/HumanEvalX\163\ExecutionsExp5Run1\08-16-2024_00h05m43s\JavascriptToC.c,JavascriptToC.c,0,"[2, 10]","[2, 4, 6, 8]","(2, 4, 6, 8)"
C,./Projects/HumanEvalX\163\ExecutionsExp5Run1\08-16-2024_00h05m43s\JavaToC.c,JavaToC.c,0,"[2, 10]","[2, 4, 6, 8]","(2, 4, 6, 8)"
C,./Projects/HumanEvalX\25\ExecutionsExp5Run1\08-16-2024_00h17m59s\JavascriptToC.c,JavascriptToC.c,0,[2],[2],2
C,./Projects/HumanEvalX\25\ExecutionsExp5Run1\08-16-2024_00h17m59s\JavaToC.c,JavaToC.c,0,[2],[2],2
C,./Projects/HumanEvalX\79\ExecutionsExp5Run1\08-16-2024_01h15m17s\C++ToC.c,C++ToC.c,0,[32],db100000db,dbdbdbdbdb
C,./Projects/HumanEvalX\100\ExecutionsExp5Run1\08-15-2024_22h43m31s\JavascriptToC.c,JavascriptToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
C,./Projects/HumanEvalX\100\ExecutionsExp5Run1\08-15-2024_22h43m31s\JavaToC.c,JavaToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
C,./Projects/HumanEvalX\100\ExecutionsExp5Run1\08-15-2024_22h43m31s\PythonToC.c,PythonToC.c,0,[3],"[3, 5, 7]","(3, 5, 7)"
C,./Projects/HumanEvalX\130\ExecutionsExp5Run1\08-15-2024_23h23m04s\JavascriptToC.c,JavascriptToC.c,0,[3],"[1, 3, 2.0, 8.0]","(1.0, 3.0, 2.0, 8.0)"
C,./Projects/HumanEvalX\130\ExecutionsExp5Run1\08-15-2024_23h23m04s\JavaToC.c,JavaToC.c,0,[3],"[1, 3, 2.0, 8.0]","(1, 3, 2, 8, 0)"
C,./Projects/HumanEvalX\130\ExecutionsExp5Run1\08-15-2024_23h23m04s\PythonToC.c,PythonToC.c,0,[3],"[1, 3, 2.0, 8.0]",1 3 2 8
C,./Projects/HumanEvalX\106\ExecutionsExp5Run1\08-15-2024_22h52m22s\JavascriptToC.c,JavascriptToC.c,0,[5],"[1, 2, 6, 24, 15]","(1, 2, 6, 24, 15)"
C,./Projects/HumanEvalX\46\ExecutionsExp5Run1\08-16-2024_00h40m12s\JavaToC.c,JavaToC.c,0,[5],4,6
C,./Projects/HumanEvalX\96\ExecutionsExp5Run1\08-16-2024_01h35m24s\JavascriptToC.c,JavascriptToC.c,0,[5],"[2, 3]","(2, 3)"
C,./Projects/HumanEvalX\96\ExecutionsExp5Run1\08-16-2024_01h35m24s\JavaToC.c,JavaToC.c,0,[5],"[2, 3]","(2, 3)"
C,./Projects/HumanEvalX\139\ExecutionsExp5Run1\08-15-2024_23h33m13s\JavaToC.c,JavaToC.c,0,[7],125411328000,857276416
C,./Projects/HumanEvalX\65\ExecutionsExp5Run1\08-16-2024_00h58m44s\C++ToC.c,C++ToC.c,0,"[97, 8]",79,77
C,./Projects/HumanEvalX\65\ExecutionsExp5Run1\08-16-2024_00h58m44s\PythonToC.c,PythonToC.c,0,"[97, 8]",79,97
C,./Projects/HumanEvalX\119\ExecutionsExp5Run1\08-15-2024_23h07m13s\C++ToC.c,C++ToC.c,0,"[['()(', ')']]",Yes,No
C,./Projects/HumanEvalX\119\ExecutionsExp5Run1\08-15-2024_23h07m13s\JavaToC.c,JavaToC.c,1,"[['()(', ')']]",Yes,Not enough arguments.
C,./Projects/HumanEvalX\113\ExecutionsExp5Run1\08-15-2024_23h01m14s\C++ToC.c,C++ToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C,./Projects/HumanEvalX\113\ExecutionsExp5Run1\08-15-2024_23h01m14s\JavascriptToC.c,JavascriptToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C,./Projects/HumanEvalX\113\ExecutionsExp5Run1\08-15-2024_23h01m14s\JavaToC.c,JavaToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C,./Projects/HumanEvalX\113\ExecutionsExp5Run1\08-15-2024_23h01m14s\PythonToC.c,PythonToC.c,3221225477,[['1234567']],['the number of odd elements 4n the str4ng 4 of the 4nput.'],
C,./Projects/HumanEvalX\149\ExecutionsExp5Run1\08-15-2024_23h48m57s\C++ToC.c,C++ToC.c,0,"[['AI', 'ai', 'au']]","['AI', 'ai', 'au']","['ai', 'au', 'AI']"
C,./Projects/HumanEvalX\149\ExecutionsExp5Run1\08-15-2024_23h48m57s\JavascriptToC.c,JavascriptToC.c,3221225477,"[['aa', 'a', 'aaa']]",['aa'],
C,./Projects/HumanEvalX\149\ExecutionsExp5Run1\08-15-2024_23h48m57s\PythonToC.c,PythonToC.c,0,"[['aa', 'a', 'aaa']]",['aa'],[]
C,./Projects/HumanEvalX\158\ExecutionsExp5Run1\08-16-2024_00h00m13s\JavascriptToC.c,JavascriptToC.c,0,"[['aaaaaaa', 'bb', 'cc']]",aaaaaaa,bb
C,./Projects/HumanEvalX\74\ExecutionsExp5Run1\08-16-2024_01h11m16s\C++ToC.c,C++ToC.c,0,"[['hi', 'admin'], ['hi', 'hi']]","['hi', 'hi']","['hi,', 'hi]']"
C,./Projects/HumanEvalX\158\ExecutionsExp5Run1\08-16-2024_00h00m13s\PythonToC.c,PythonToC.c,0,"[['name', 'enam', 'game']]",enam,string
C,./Projects/HumanEvalX\158\ExecutionsExp5Run1\08-16-2024_00h00m13s\JavaToC.c,JavaToC.c,0,"[['name', 'of', 'string']]",string,string'
C,./Projects/HumanEvalX\28\ExecutionsExp5Run1\08-16-2024_00h21m48s\C++ToC.c,C++ToC.c,0,"[['x', 'y', 'z']]",xyz,x'y'z'
C,./Projects/HumanEvalX\28\ExecutionsExp5Run1\08-16-2024_00h21m48s\JavaToC.c,JavaToC.c,0,"[['x', 'y', 'z']]",xyz,x'y'z'
C,./Projects/HumanEvalX\28\ExecutionsExp5Run1\08-16-2024_00h21m48s\PythonToC.c,PythonToC.c,1,"[['x', 'y', 'z']]",xyz,
C,./Projects/HumanEvalX\29\ExecutionsExp5Run1\08-16-2024_00h23m01s\JavaToC.c,JavaToC.c,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']",[]
C,./Projects/HumanEvalX\7\ExecutionsExp5Run1\08-16-2024_01h05m22s\C++ToC.c,C++ToC.c,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']","['xxx'', 'xxxAAA',', 'xxx'']"
C,./Projects/HumanEvalX\7\ExecutionsExp5Run1\08-16-2024_01h05m22s\JavaToC.c,JavaToC.c,0,"[['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx']","['xxx', 'xxxAAA', 'xxx']","[''xxx'', ' 'xxxAAA'', ' 'xxx'']"
C,./Projects/HumanEvalX\30\ExecutionsExp5Run1\08-16-2024_00h25m54s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[-1, -2, 4, 5, 6]]","[4, 5, 6]",
C,./Projects/HumanEvalX\30\ExecutionsExp5Run1\08-16-2024_00h25m54s\PythonToC.c,PythonToC.c,0,"[[-1, -2, 4, 5, 6]]","[4, 5, 6]",[]
C,./Projects/HumanEvalX\116\ExecutionsExp5Run1\08-15-2024_23h03m31s\JavascriptToC.c,JavascriptToC.c,0,"[[-2, -3, -4, -5, -6]]","[-4, -2, -6, -5, -3]","[-6, -4, -5, -3, -2]"
C,./Projects/HumanEvalX\120\ExecutionsExp5Run1\08-15-2024_23h09m16s\JavascriptToC.c,JavascriptToC.c,0,"[[-3, -4, 5], 3]","[-4, -3, 5]","(-4, -3, 5)"
C,./Projects/HumanEvalX\120\ExecutionsExp5Run1\08-15-2024_23h09m16s\JavaToC.c,JavaToC.c,3221225477,"[[-3, -4, 5], 3]","[-4, -3, 5]",
C,./Projects/HumanEvalX\120\ExecutionsExp5Run1\08-15-2024_23h09m16s\PythonToC.c,PythonToC.c,3221225477,"[[-3, -4, 5], 3]","[-4, -3, 5]",
C,./Projects/HumanEvalX\94\ExecutionsExp5Run1\08-16-2024_01h33m47s\JavascriptToC.c,JavascriptToC.c,0,"[[0, 3, 2, 1, 3, 5, 7, 4, 5, 5, 5, 2, 181, 32, 4, 32, 3, 2, 32, 324, 4, 3]]",10,0
C,./Projects/HumanEvalX\94\ExecutionsExp5Run1\08-16-2024_01h33m47s\PythonToC.c,PythonToC.c,0,"[[0, 3, 2, 1, 3, 5, 7, 4, 5, 5, 5, 2, 181, 32, 4, 32, 3, 2, 32, 324, 4, 3]]",10,0
C,./Projects/HumanEvalX\152\ExecutionsExp5Run1\08-15-2024_23h53m36s\PythonToC.c,PythonToC.c,0,"[[0, 5, 0, 0, 0, 4], [4, 1, 1, 0, 0, -2]]","[4, 4, 1, 0, 0, 6]","[0, 0, 0, 0, 3, 3]"
C,./Projects/HumanEvalX\122\ExecutionsExp5Run1\08-15-2024_23h12m34s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, -2, -3, 41, 57, 76, 87, 88, 99], 3]",-4,
C,./Projects/HumanEvalX\122\ExecutionsExp5Run1\08-15-2024_23h12m34s\PythonToC.c,PythonToC.c,0,"[[1, -2, -3, 41, 57, 76, 87, 88, 99], 3]",-4,-5
C,./Projects/HumanEvalX\8\ExecutionsExp5Run1\08-16-2024_01h16m15s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 1, 1]]","[3, 1]",
C,./Projects/HumanEvalX\8\ExecutionsExp5Run1\08-16-2024_01h16m15s\JavaToC.c,JavaToC.c,3221225477,"[[1, 1, 1]]","[3, 1]",
C,./Projects/HumanEvalX\145\ExecutionsExp5Run1\08-15-2024_23h42m40s\C++ToC.c,C++ToC.c,0,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]","[1, -1, 11, -11, -12]"
C,./Projects/HumanEvalX\145\ExecutionsExp5Run1\08-15-2024_23h42m40s\JavascriptToC.c,JavascriptToC.c,3221225477,"[[1, 11, -1, -11, -12]]","[-1, -11, 1, -12, 11]",
